"Path","Platform","Compiled","Cooked","Permutations","Compiletime","CompiledDouble","CookedDouble"
"/ControlRig/Controls/ControlRigGizmoMaterial.ControlRigGizmoMaterial","0","0","4","1","0.000000","0","0"
"/Engine/EngineDebugMaterials/DebugEditorMaterial.DebugEditorMaterial","0","0","6","1","0.000000","0","0"
"/Engine/EngineMaterials/GizmoMaterial.GizmoMaterial","0","0","6","1","0.000000","0","0"
"/Engine/EngineDebugMaterials/DebugMeshMaterial.DebugMeshMaterial","0","0","9","1","0.000000","0","0"
"/Engine/EngineMaterials/RemoveSurfaceMaterial.RemoveSurfaceMaterial","0","0","4","1","0.000000","0","0"
"/Game/MATS/DECAL_MAT.DECAL_MAT","0","0","27","1","0.000000","0","0"
"/HairStrands/Materials/HairMeshesDefaultMaterial.HairMeshesDefaultMaterial","0","0","63","1","0.000000","0","0"
"/HairStrands/Materials/HairCardsDefaultMaterial.HairCardsDefaultMaterial","0","0","104","1","0.000000","0","0"
"/HairStrands/Materials/HairDefaultMaterial.HairDefaultMaterial","0","0","63","1","0.000000","0","0"
"/Engine/EngineDebugMaterials/M_SimpleUnlitTranslucent.M_SimpleUnlitTranslucent","0","0","9","1","0.000000","0","0"
"/Engine/EditorMaterials/Camera/CineMat.CineMat","0","0","28","1","0.000000","0","0"
"/Engine/VREditor/TransformGizmo/Xray.Xray","0","0","14","1","0.000000","0","0"
"/Engine/VREditor/TransformGizmo/Main.Main","0","0","9","1","0.000000","0","0"
"/Engine/VREditor/TransformGizmo/TranslucentTransformGizmoMaterial.TranslucentTransformGizmoMaterial","0","0","9","1","0.000000","0","0"
"/Engine/EngineMaterials/DefaultLightFunctionMaterial.DefaultLightFunctionMaterial","0","0","43","1","0.000000","0","0"
"/Game/StarterContent/Props/Materials/M_MaterialSphere_Plain.M_MaterialSphere_Plain","0","0","14","1","0.000000","0","0"
"/Game/StarterContent/Props/Materials/M_MaterialSphere.M_MaterialSphere","0","0","14","1","0.000000","0","0"
"/Game/StarterContent/Particles/Materials/m_flare_01.m_flare_01","0","0","36","1","0.000000","0","0"
"/Game/StarterContent/Materials/M_Glass.M_Glass","0","0","37","1","0.000000","0","0"
"/Game/StarterContent/Materials/M_Basic_Wall.M_Basic_Wall","0","0","51","1","0.000000","0","0"
"/Game/StarterContent/Materials/M_Basic_Floor.M_Basic_Floor","0","0","23","1","0.000000","0","0"
"/Game/StarterContent/Materials/M_AssetPlatform.M_AssetPlatform","0","0","23","1","0.000000","0","0"
"/Game/StarterContent/Blueprints/Assets/M_LightStage_Arrows.M_LightStage_Arrows","0","0","4","1","0.000000","0","0"
"/Game/Particles/Tracer/Tracer_Mats/TracerMat.TracerMat","0","0","48","1","0.000000","0","0"
"/Game/Particles/Misc/MiscMats/DustMat.DustMat","0","0","72","1","0.000000","0","0"
"/Game/Particles/Lighting/LightningMats/lambert1.lambert1","0","0","42","1","0.000000","0","0"
"/Game/Materials/M_Invisibility/M_Invisible.M_Invisible","0","0","52","1","0.000000","0","0"
"/Game/Mannequin/BodyParts/M_Male_Body.M_Male_Body","0","0","28","1","0.000000","0","0"
"/Game/Greyblock/blinn2.blinn2","0","0","14","1","0.000000","0","0"
"/Game/Geometry/Meshes/CubeMaterial.CubeMaterial","0","0","23","1","0.000000","0","0"
"/Game/FirstPerson/Meshes/BaseMaterial.BaseMaterial","0","0","37","1","0.000000","0","0"
"/Game/ANI_TESTS/TESTS_FOR_FPS/new_Test_FPS/M_Gun_DarkerMetal.M_Gun_DarkerMetal","0","0","28","1","0.000000","0","0"
"/Game/ANI_TESTS/TESTS_FOR_FPS/new_Test_FPS/M_Gun_BaseMetal.M_Gun_BaseMetal","0","0","28","1","0.000000","0","0"
"/Game/ANI_TESTS/TESTS_FOR_FPS/new_Test_FPS/M_Bot_UpperJunk.M_Bot_UpperJunk","0","0","28","1","0.000000","0","0"
"/Game/ANI_TESTS/TESTS_FOR_FPS/new_Test_FPS/M_Bot_Fingers.M_Bot_Fingers","0","0","28","1","0.000000","0","0"
"/Game/ANI_TESTS/TESTS_FOR_FPS/new_Test_FPS/M_Bot_Arms.M_Bot_Arms","0","0","28","1","0.000000","0","0"
"/Game/ANI_TESTS/TESTS_FOR_FPS/new_Test_FPS/M_Bot_ArmJoints1.M_Bot_ArmJoints1","0","0","28","1","0.000000","0","0"
"/Game/ANI_TESTS/TESTS_FOR_FPS/new_Test_FPS/M_Bot_ArmJoints.M_Bot_ArmJoints","0","0","28","1","0.000000","0","0"
"/Game/ANI_TESTS/TESTS_FOR_FPS/new_Test_FPS/M_Bot_Accents1.M_Bot_Accents1","0","0","28","1","0.000000","0","0"
"/Game/ANI_TESTS/TESTS_FOR_FPS/new_Test_FPS/Darkerhandle.Darkerhandle","0","0","28","1","0.000000","0","0"
"/Game/ANI_TESTS/OLD_enemy_Model/lambert2.lambert2","0","0","28","1","0.000000","0","0"
"/Game/ANI_TESTS/OLD_enemy_Model/lambert1.lambert1","0","0","14","1","0.000000","0","0"
"/Game/ANI_TESTS/BossyEnemy/Materials/M_Floor.M_Floor","0","0","23","1","0.000000","0","0"
"/Game/ANI_TESTS/BossyEnemy/Materials/MaterialInstanceDynamic_3.MaterialInstanceDynamic_3","0","0","28","1","0.000000","0","0"
"/Game/ANI_TESTS/BossyEnemy/Materials/MaterialInstanceDynamic_2.MaterialInstanceDynamic_2","0","0","28","1","0.000000","0","0"
"/Game/ANI_TESTS/BossyEnemy/Materials/MaterialInstanceDynamic_1.MaterialInstanceDynamic_1","0","0","28","1","0.000000","0","0"
"/Game/ANI_TESTS/BossyEnemy/Materials/MaterialInstanceDynamic_0.MaterialInstanceDynamic_0","0","0","28","1","0.000000","0","0"
"/Game/ANI_TESTS/M_Bot_UpperJunk.M_Bot_UpperJunk","0","0","28","1","0.000000","0","0"
"/Game/ANI_TESTS/M_Bot_Neck.M_Bot_Neck","0","0","28","1","0.000000","0","0"
"/Game/ANI_TESTS/M_Bot_LowerJunk.M_Bot_LowerJunk","0","0","28","1","0.000000","0","0"
"/Game/ANI_TESTS/M_Bot_Legs.M_Bot_Legs","0","0","28","1","0.000000","0","0"
"/Game/ANI_TESTS/M_Bot_LegJoints.M_Bot_LegJoints","0","0","28","1","0.000000","0","0"
"/Game/ANI_TESTS/M_Bot_Head.M_Bot_Head","0","0","28","1","0.000000","0","0"
"/Game/ANI_TESTS/M_Bot_Fingers.M_Bot_Fingers","0","0","28","1","0.000000","0","0"
"/Game/ANI_TESTS/M_Bot_Face.M_Bot_Face","0","0","28","1","0.000000","0","0"
"/Game/ANI_TESTS/M_Bot_Eyes.M_Bot_Eyes","0","0","28","1","0.000000","0","0"
"/Game/ANI_TESTS/M_Bot_EyeGlow.M_Bot_EyeGlow","0","0","28","1","0.000000","0","0"
"/Game/ANI_TESTS/M_Bot_Chest.M_Bot_Chest","0","0","28","1","0.000000","0","0"
"/Game/ANI_TESTS/M_Bot_Backpack.M_Bot_Backpack","0","0","28","1","0.000000","0","0"
"/Game/ANI_TESTS/M_Bot_Arms.M_Bot_Arms","0","0","28","1","0.000000","0","0"
"/Game/ANI_TESTS/M_Bot_ArmJoints.M_Bot_ArmJoints","0","0","28","1","0.000000","0","0"
"/Game/ANI_TESTS/M_Bot_Accents1.M_Bot_Accents1","0","0","28","1","0.000000","0","0"
"/Game/Upgrade_mat1.Upgrade_mat1","0","0","14","1","0.000000","0","0"
"/Game/Upgrade_mat.Upgrade_mat","0","0","14","1","0.000000","0","0"
"/Game/M_ConcreteSloped2.M_ConcreteSloped2","0","0","14","1","0.000000","0","0"
"/Game/M_ConcreteSlope1.M_ConcreteSlope1","0","0","14","1","0.000000","0","0"
"/Game/M_ConcretePillar.M_ConcretePillar","0","0","14","1","0.000000","0","0"
"/Game/Health_mat.Health_mat","0","0","14","1","0.000000","0","0"
"/Engine/BasicShapes/BasicShapeMaterial.BasicShapeMaterial","0","0","84","1","0.000000","0","0"
"/Niagara/DefaultAssets/DefaultSpriteMaterial.DefaultSpriteMaterial","0","0","66","1","0.000000","0","0"
